,SibSp,Parch,Fare,passenger_class,isFemale,passenger_survived
329,0.0,0.2,0.11316786160148591,1.0,1,1
749,0.0,0.0,0.015126992566498259,0.0,0,0
203,0.0,0.0,0.014102260811993537,0.0,0,0
421,0.0,0.0,0.015094396337354966,0.0,0,0
97,0.0,0.2,0.12366716556464086,1.0,0,1
714,0.0,0.0,0.025374310111545468,0.5,0,0
43,0.125,0.4,0.08115719346076702,0.5,1,1
841,0.0,0.0,0.020494635090094415,0.5,0,0
520,0.0,0.0,0.18249984580226933,1.0,1,1
652,0.0,0.0,0.01646070534336126,0.0,0,0
156,0.0,0.0,0.015094396337354966,0.0,1,1
226,0.0,0.0,0.020494635090094415,0.5,0,1
425,0.0,0.0,0.014151057562208049,0.0,0,0
580,0.125,0.2,0.05855610025741262,0.5,1,1
543,0.125,0.0,0.050748620223090936,0.5,0,1
767,0.0,0.0,0.015126992566498259,0.0,1,0
102,0.0,0.2,0.15085515328815924,1.0,0,0
267,0.125,0.0,0.015175789316712771,0.0,0,1
279,0.125,0.2,0.03952536767375352,0.0,1,1
389,0.0,0.0,0.023422440102965045,0.5,1,1
107,0.0,0.0,0.015175789316712771,0.0,0,1
853,0.0,0.2,0.07690367833806856,1.0,1,1
368,0.0,0.0,0.015126992566498259,0.0,1,1
621,0.125,0.0,0.10257896680493714,1.0,0,1
252,0.0,0.0,0.051822148727810165,1.0,0,0
263,0.0,0.0,0.0,1.0,0,0
877,0.0,0.0,0.015411575213749286,0.0,0,0
260,0.0,0.0,0.015126992566498259,0.0,0,0
880,0.0,0.2,0.050748620223090936,0.5,1,1
527,0.0,0.0,0.4328841690069588,1.0,0,0
349,0.0,0.0,0.016908073949327893,0.0,0,0
713,0.0,0.0,0.018510168852370702,0.0,0,0
546,0.125,0.0,0.050748620223090936,0.5,1,1
374,0.375,0.2,0.04113566043083236,0.0,1,0
363,0.0,0.0,0.013760683560491965,0.0,0,0
814,0.0,0.0,0.015712553569072387,0.0,0,0
568,0.0,0.0,0.014110458666029575,0.0,0,0
800,0.0,0.0,0.025374310111545468,0.5,0,0
768,0.125,0.0,0.04713766070721715,0.0,0,0
709,0.125,0.2,0.029757819776815374,0.0,0,1
693,0.0,0.0,0.014102260811993537,0.0,0,0
738,0.0,0.0,0.015411575213749286,0.0,0,0
587,0.125,0.2,0.15458810467956932,1.0,0,1
798,0.0,0.0,0.014110458666029575,0.0,0,0
660,0.25,0.0,0.2608674266467732,1.0,0,1
852,0.125,0.2,0.029757819776815374,0.0,1,0
703,0.0,0.0,0.015110792045427042,0.0,0,0
886,0.0,0.0,0.025374310111545468,0.5,0,0
525,0.0,0.0,0.015126992566498259,0.0,0,0
178,0.0,0.0,0.025374310111545468,0.5,0,0
399,0.0,0.0,0.02469115560854232,0.5,1,1
79,0.0,0.0,0.024349578357040744,0.0,1,1
851,0.0,0.0,0.015175789316712771,0.0,0,0
246,0.0,0.0,0.015175789316712771,0.0,1,0
202,0.0,0.0,0.012678957201736696,0.0,0,0
637,0.125,0.2,0.05123658772523604,0.5,0,0
804,0.0,0.0,0.013614293309848433,0.0,0,1
230,0.125,0.0,0.16293234896625058,1.0,1,1
50,0.5,0.2,0.07746484096553544,0.0,0,0
166,0.0,0.2,0.10735285047192313,1.0,1,1
529,0.25,0.2,0.022446505098674838,0.5,0,0
606,0.0,0.0,0.015411575213749286,0.0,0,0
7,0.375,0.2,0.04113566043083236,0.0,0,0
858,0.0,0.6000000000000001,0.03758969818624431,0.0,1,1
335,0.0,0.0,0.015411575213749286,0.0,0,0
832,0.0,0.0,0.014110458666029575,0.0,0,0
232,0.0,0.0,0.026350245115835676,0.5,0,0
150,0.0,0.0,0.02444717185746977,0.5,0,0
373,0.0,0.0,0.2647385704347907,1.0,0,0
447,0.0,0.0,0.051822148727810165,1.0,0,1
85,0.375,0.0,0.030937139635999665,0.0,1,1
565,0.25,0.0,0.04713766070721715,0.0,0,0
132,0.125,0.0,0.028302115124416098,0.0,1,0
662,0.0,0.0,0.04994347384455151,1.0,0,0
344,0.0,0.0,0.025374310111545468,0.5,0,0
783,0.125,0.4,0.04577135170121086,0.0,0,0
9,0.125,0.0,0.058694292654020104,0.5,1,1
254,0.0,0.4,0.039452172548431745,0.0,1,0
766,0.0,0.0,0.07729405233978466,1.0,0,0
82,0.0,0.0,0.015200187691820024,0.0,1,1
64,0.0,0.0,0.05410739813385612,1.0,0,0
548,0.125,0.2,0.04006213192611313,0.0,0,0
328,0.125,0.2,0.04006213192611313,0.0,1,1
721,0.125,0.0,0.013768881414528002,0.0,0,0
372,0.0,0.0,0.015712553569072387,0.0,0,0
119,0.5,0.4,0.06104473451835265,0.0,1,0
417,0.0,0.4,0.025374310111545468,0.5,1,1
584,0.0,0.0,0.017005667449756914,0.0,0,0
591,0.125,0.0,0.1527664244005612,1.0,1,1
416,0.125,0.2,0.06343577527886367,0.5,1,1
801,0.125,0.2,0.05123658772523604,0.5,1,1
512,0.0,0.0,0.05130978285055781,1.0,0,1
455,0.0,0.0,0.015411575213749286,0.0,0,1
757,0.0,0.0,0.022446505098674838,0.5,0,0
275,0.125,0.0,0.15216446768991498,1.0,1,1
121,0.0,0.0,0.015712553569072387,0.0,0,0
443,0.0,0.0,0.025374310111545468,0.5,1,1
458,0.0,0.0,0.020494635090094415,0.5,1,1
653,0.0,0.0,0.015281580671177828,0.0,1,1
725,0.0,0.0,0.016908073949327893,0.0,0,0
395,0.0,0.0,0.015216388212891242,0.0,0,0
754,0.125,0.4,0.12687155055772734,0.5,1,1
40,0.125,0.0,0.018493968331299484,0.0,1,0
217,0.125,0.0,0.05270049023167135,0.5,0,0
457,0.125,0.0,0.10122885832000206,1.0,1,1
732,0.0,0.0,0.0,0.5,0,0
469,0.25,0.2,0.03758969818624431,0.0,1,1
250,0.0,0.0,0.014151057562208049,0.0,0,0
124,0.0,0.2,0.15085515328815924,1.0,0,0
470,0.0,0.0,0.014151057562208049,0.0,0,0
291,0.125,0.0,0.17777475888549785,1.0,1,1
169,0.0,0.0,0.11027245763075773,0.0,0,0
300,0.0,0.0,0.015126992566498259,0.0,1,1
666,0.0,0.0,0.025374310111545468,0.5,0,0
885,0.0,1.0,0.05684821399990475,0.0,1,0
